,이름,제조사,주원료,규격,도수,설명
0,하늘아래서,맑은내일,"단감증류원액,정제수",375ml,24%,"숙성된 단감와인을 감압증류하여 부드러우면서 깨끗하고,100% 국내산 단감의 고유한 향과 풍부한 맛을 담아낸 증류주입니다."
1,농태기,하나도가,"정제수, 쌀(국산 충북음성 다올찬쌀)",300ml,25%,"알싸한 고추씨의 스파이시한 맛과 구수한 누룩의 향미,특유의 산미로 끝맛이 깔끔합니다."
2,주향이오,담을술공방,"쌀(국내산),국,효모,정제수,정제효소",375ml,25%,주향이오는 부드럽고 새겅이 강하지 않으며 주향담을은 약간의 단맛에 은은한 향이 납니다.
3,어떤유자 06,녹동양조장,"정제수,쌀(국산),쌀입국(국산),효모,원당,누룩,유자(고흥산),정제효소,스테비아",500ml,6%,어떤유자는 친환경 고흥쌀과 100%고흥유자로 만드는 우리 전통주입니다.
4,ULSSIGO 얼씨고,까치설,"정제수, 주정, 헛개나무열매, 키위열매, 천연향료, 구연산(무수), 효소처리스테비아, 올리고당",750ml,30%,"얼씨고는 100% 천연 재료만 사용하여 만든 한국식 리큐르입니다.
3번 정제를 통해 목 넘김이 부드러워 특유의 맛과 향을 은은하게 즐길 수
있으며, 헛개열매와 상큼한 키위와 레몬이 만나 첫 맛음 상큼하게 시작해
다채로운 풍미로 이어지는 즐거움을 전달합니다."
5,담은 블랙,포천일동막걸리,"정제수,흑미,쌀(국내산),젖산효모,기타과당,정제효소제",750ml,6.5%,"담은은 특유의 부드럽고 달콤한 맛을 내기 위해 생쌀 그대로 발효하는 담은만의 수제 공법을 고집하고 있으며 쌀이 주는 고유의 맛과 질감,그리고 색을 극대화 하였습니다."
6,마크홀리 핑크,홀리워터,"정제수,쌀(김포산),국,산도조절제,효모",500ml,10%,국내산 쌀과 전통 누룩 대신 맥주 효모를 사용해서 빚은 생 막걸리입니다.
7,청명탁주,중원당,"국내산 찹쌀, 국내산 누룩, 국내산 소맥분",375ml,12%,"청명탁주는 일체의 첨가물 없이 찹쌀과 누룩으로만 만들었습니다.

기존의 청명주와 달리 구멍떡으로 밑술을 빚는데 다른 밑술에 비교하면 쉽지 않은 방법입니다.

발효와 숙성이 합쳐서 3개월이상이 소요됩니다."
8,선희 10,중원당,"정제수,참쌀(국내산),멥쌀(국내산),사과(국내산),고구마(국내산),오렌지(미국산),누룩(국내산)",330ml,10%,"선희10은 항아리에서 100일 동안 저온 발효 숙성하는 오렌지 ,충주 사과 막걸리입니다."
9,힙걸리,봄내양조장,"정제수, 쌀(국내산), 국, 효모 (밀함유)",500ml,6%,단맛을 위한 인공감미료 첨가 대신 막걸리를 장기숙성시켜 쌀의 단맛과 향긋한 과일향으로 딸딸함을 최대한 끌어냈습니다.
10,선산 스위트,선산주조,"쌀(선산찹쌀100%),누룩(국내산),효모,정제수",750ml,8%,선산 스위트는 쌀에서 나오는 당분과 산미에 초점을 맞춘 우리술입니다. 일반 막걸리와 달리 높은 농도의 진한 쌀맛을 느끼실 수 있습니다.
11,고흥유자 08,녹동양조장,"쌀(고흥산), 입국(쌀), 누룩, 정제효소, 효모, 정제수, 유자(고흥산), 원당",500ml,8%,"고흥 유자주, 일명 고유 08은 100% 고흥 유자와 고흥 쌀로 술을 빚어 곡물의 고소함과 유자의 새콤달콤한 향을 느낄 수 있습니다."
12,죽력고,태인양조장,"쌀, 죽력, 누룩, 정제수",700ml,32%,"대나무를 토막 내 불을 지펴 흘러내리는 대나무즙‘죽력’에

대잎, 석창포, 계심 등을 넣고 소주를 내려 증류시킨 술입니다."
13,댄싱22,댄싱사이더,"정제수, 사과증류원액, 사과농축액, 사과향",375ml,22%,"100% 국산 사과 약 7개를 저온에서 진공상태로 증류하여

소주의 쓴 맛은 없애고 사과의 은은한 단맛과 향만 남은 증류주입니다."
